20:40:03 loading abstraction from abstraction/
20:40:03   loaded_streets=('flop', 'turn', 'river'), lru_max=2000000
20:40:03 warming preflop-tier cache (~6s)...
20:40:05 config: DeepCFRConfig(advantage_hidden=(256, 256, 256), policy_hidden=(256, 256, 256), activation='relu', layer_norm=True, learning_rate=0.001, optimizer='adam', grad_clip=1.0, batch_size=256, outer_iters=250, traversals_per_iter=400, train_steps_per_iter=200, policy_train_steps=40000, advantage_buffer_size=500000, policy_buffer_size=3000000, cfr_weighting='linear', num_players_train=(6, 8, 9), seat_randomization=True, seed=2026, checkpoint_every=25, lbr_every=25)
20:40:05 training at table_size=9
20:40:05 training -> training/pilot-v2-9max/
20:40:31 [iter 1/250] 22.1s trav + 3.1s train (adv_buf=996, policy_buf=12245, wall=0.4min, eta=104.6min)
20:44:21 [iter 2/250] 227.0s trav + 2.9s train (adv_buf=20302, policy_buf=147711, wall=4.3min, eta=527.3min)
20:44:41 [iter 3/250] 17.0s trav + 3.1s train (adv_buf=21114, policy_buf=156871, wall=4.6min, eta=377.7min)
20:45:21 [iter 4/250] 37.0s trav + 3.0s train (adv_buf=22977, policy_buf=171074, wall=5.3min, eta=323.1min)
20:45:42 [iter 5/250] 18.6s trav + 2.9s train (adv_buf=24447, policy_buf=182766, wall=5.6min, eta=275.0min)
20:46:06 [iter 6/250] 19.3s trav + 4.1s train (adv_buf=26069, policy_buf=194282, wall=6.0min, eta=244.1min)
20:46:35 [iter 7/250] 23.8s trav + 6.0s train (adv_buf=27527, policy_buf=204900, wall=6.5min, eta=225.6min)
20:47:14 [iter 8/250] 36.0s trav + 2.9s train (adv_buf=30178, policy_buf=219172, wall=7.1min, eta=216.2min)
20:47:38 [iter 9/250] 21.1s trav + 3.0s train (adv_buf=32556, policy_buf=231720, wall=7.5min, eta=202.1min)
20:48:05 [iter 10/250] 23.4s trav + 3.4s train (adv_buf=34331, policy_buf=243188, wall=8.0min, eta=191.9min)
20:48:48 [iter 11/250] 40.2s trav + 2.8s train (adv_buf=39004, policy_buf=261567, wall=8.7min, eta=189.3min)
20:49:26 [iter 12/250] 34.6s trav + 3.1s train (adv_buf=42275, policy_buf=277877, wall=9.3min, eta=185.3min)
20:49:58 [iter 13/250] 29.3s trav + 3.2s train (adv_buf=44345, policy_buf=291736, wall=9.9min, eta=180.2min)
20:50:16 [iter 14/250] 14.3s trav + 2.9s train (adv_buf=45197, policy_buf=300785, wall=10.2min, eta=171.4min)
20:50:56 [iter 15/250] 37.1s trav + 2.9s train (adv_buf=47804, policy_buf=317778, wall=10.8min, eta=169.8min)
20:51:25 [iter 16/250] 25.1s trav + 4.0s train (adv_buf=49876, policy_buf=331279, wall=11.3min, eta=165.6min)
20:51:53 [iter 17/250] 24.7s trav + 3.4s train (adv_buf=51388, policy_buf=343838, wall=11.8min, eta=161.6min)
20:52:28 [iter 18/250] 32.1s trav + 3.1s train (adv_buf=53426, policy_buf=358435, wall=12.4min, eta=159.5min)
20:52:54 [iter 19/250] 23.4s trav + 3.0s train (adv_buf=55075, policy_buf=371181, wall=12.8min, eta=155.8min)
20:53:33 [iter 20/250] 36.0s trav + 2.9s train (adv_buf=57563, policy_buf=386996, wall=13.5min, eta=154.8min)
20:54:03 [iter 21/250] 26.3s trav + 4.0s train (adv_buf=59240, policy_buf=401462, wall=14.0min, eta=152.3min)
20:54:38 [iter 22/250] 30.5s trav + 3.7s train (adv_buf=60963, policy_buf=414129, wall=14.5min, eta=150.7min)
20:55:05 [iter 23/250] 24.7s trav + 2.8s train (adv_buf=62505, policy_buf=427914, wall=15.0min, eta=148.0min)
20:55:43 [iter 24/250] 34.5s trav + 2.8s train (adv_buf=65076, policy_buf=443370, wall=15.6min, eta=147.1min)
20:56:05 [iter 25/250] 19.5s trav + 2.9s train (adv_buf=66691, policy_buf=455983, wall=16.0min, eta=143.9min)
20:56:08 [iter 25] checkpoint -> iter_0025.pt
